Descrição,Data,Quantidade,PdCusto,PdVenda,Tecido,Estacao
Bermuda Outono Jeans,2020-03,1,18,36,Jeans,Outono
Blusa Outono Tricô,2020-03,4,16,32,Tricô,Outono
Camisa Outono Lã,2020-03,2,24,48,Lã,Outono
Cropped Outono Viscose,2020-03,1,12,24,Viscose,Outono
Saia Outono Couro,2020-03,3,14,28,Couro,Outono
Short Outono Sarja,2020-03,4,18,36,Sarja,Outono
T-shirt Outono Algodão,2020-03,2,10,20,Algodão,Outono
Vestido Outono Lã,2020-03,1,28,56,Lã,Outono
Calça Outono Sarja,2020-04,3,22,44,Sarja,Outono
Calça Outono Algodão,2020-04,4,20,40,Algodão,Outono
Bermuda Outono Jeans,2020-04,2,18,36,Jeans,Outono
Blusa Outono Tricô,2020-04,1,16,32,Tricô,Outono
Camisa Outono Lã,2020-04,3,24,48,Lã,Outono
Cropped Outono Viscose,2020-04,2,12,24,Viscose,Outono
Saia Outono Couro,2020-04,4,14,28,Couro,Outono
Short Outono Sarja,2020-04,1,18,36,Sarja,Outono
T-shirt Outono Algodão,2020-04,2,10,20,Algodão,Outono
Vestido Outono Lã,2020-04,3,28,56,Lã,Outono
Calça Inverno Lã,2020-05,2,30,60,Lã,Inverno
Calça Inverno Malha,2020-05,4,28,56,Malha,Inverno
Bermuda Inverno Moletom,2020-05,1,20,40,Moletom,Inverno
Blusa Inverno Lã,2020-05,3,26,52,Lã,Inverno
Camisa Inverno Flanela,2020-05,2,24,48,Flanela,Inverno
Cropped Inverno Algodão,2020-05,1,14,28,Algodão,Inverno
Saia Inverno Lã,2020-05,2,22,44,Lã,Inverno
Short Inverno Moletom,2020-05,3,18,36,Moletom,Inverno
T-shirt Inverno Algodão,2020-05,4,12,24,Algodão,Inverno
Vestido Inverno Lã,2020-05,2,32,64,Lã,Inverno
Calça Inverno Lã,2020-06,1,30,60,Lã,Inverno
Calça Inverno Malha,2020-06,3,28,56,Malha,Inverno
Bermuda Inverno Moletom,2020-06,2,20,40,Moletom,Inverno
Blusa Inverno Lã,2020-06,4,26,52,Lã,Inverno
Camisa Inverno Flanela,2020-06,1,24,48,Flanela,Inverno
Cropped Inverno Algodão,2020-06,3,14,28,Algodão,Inverno
Saia Inverno Lã,2020-06,2,22,44,Lã,Inverno
Short Inverno Moletom,2020-06,4,18,36,Moletom,Inverno
T-shirt Inverno Algodão,2020-06,2,12,24,Algodão,Inverno
Vestido Inverno Lã,2020-06,3,32,64,Lã,Inverno
Calça Inverno Lã,2020-07,4,30,60,Lã,Inverno
Calça Inverno Malha,2020-07,1,28,56,Malha,Inverno
Bermuda Inverno Moletom,2020-07,3,20,40,Moletom,Inverno
Blusa Inverno Lã,2020-07,2,26,52,Lã,Inverno
Camisa Inverno Flanela,2020-07,4,24,48,Flanela,Inverno
Cropped Inverno Algodão,2020-07,1,14,28,Algodão,Inverno
Saia Inverno Lã,2020-07,3,22,44,Lã,Inverno
Short Inverno Moletom,2020-07,2,18,36,Moletom,Inverno
T-shirt Inverno Algodão,2020-07,4,12,24,Algodão,Inverno
Vestido Inverno Lã,2020-07,1,32,64,Lã,Inverno
Calça Primavera Viscose,2020-08,2,20,40,Viscose,Primavera
Calça Primavera Linho,2020-08,3,22,44,Linho,Primavera
Bermuda Primavera Algodão,2020-08,1,18,36,Algodão,Primavera
Blusa Primavera Chiffon,2020-08,4,16,32,Chiffon,Primavera
Camisa Primavera Viscose,2020-08,2,24,48,Viscose,Primavera
Cropped Primavera Linho,2020-08,3,12,24,Linho,Primavera
Saia Primavera Seda,2020-08,4,14,28,Seda,Primavera
Short Primavera Algodão,2020-08,1,18,36,Algodão,Primavera
T-shirt Primavera Poliéster,2020-08,2,10,20,Poliéster,Primavera
Vestido Primavera Chiffon,2020-08,3,30,60,Chiffon,Primavera
Calça Primavera Viscose,2020-09,1,20,40,Viscose,Primavera
Calça Primavera Linho,2020-09,2,22,44,Linho,Primavera
Bermuda Primavera Algodão,2020-09,4,18,36,Algodão,Primavera
Blusa Primavera Chiffon,2020-09,3,16,32,Chiffon,Primavera
Camisa Primavera Viscose,2020-09,1,24,48,Viscose,Primavera
Cropped Primavera Linho,2020-09,2,12,24,Linho,Primavera
Saia Primavera Seda,2020-09,4,14,28,Seda,Primavera
Short Primavera Algodão,2020-09,3,18,36,Algodão,Primavera
T-shirt Primavera Poliéster,2020-09,2,10,20,Poliéster,Primavera
Vestido Primavera Chiffon,2020-09,1,30,60,Chiffon,Primavera
Calça Primavera Viscose,2020-10,4,20,40,Viscose,Primavera
Calça Primavera Linho,2020-10,1,22,44,Linho,Primavera
Bermuda Primavera Algodão,2020-10,3,18,36,Algodão,Primavera
Blusa Primavera Chiffon,2020-10,2,16,32,Chiffon,Primavera
Camisa Primavera Viscose,2020-10,4,24,48,Viscose,Primavera
Cropped Primavera Linho,2020-10,1,12,24,Linho,Primavera
Saia Primavera Seda,2020-10,2,14,28,Seda,Primavera
Short Primavera Algodão,2020-10,3,18,36,Algodão,Primavera
T-shirt Primavera Poliéster,2020-10,1,10,20,Poliéster,Primavera
Vestido Primavera Chiffon,2020-10,4,30,60,Chiffon,Primavera
Calça Verão Tactel,2020-11,2,20,40,Tactel,Verão
Calça Verão Cetim,2020-11,3,25,50,Cetim,Verão
Bermuda Verão Jeans,2020-11,4,15,30,Jeans,Verão
Blusa Verão Seda,2020-11,1,18,36,Seda,Verão
Camisa Verão Algodão,2020-11,2,22,44,Algodão,Verão
Cropped Verão Algodão,2020-11,3,10,20,Algodão,Verão
Saia Verão Viscose,2020-11,4,12,24,Viscose,Verão
Short Verão Jeans,2020-11,2,16,32,Jeans,Verão
T-shirt Verão Poliéster,2020-11,1,8,16,Poliéster,Verão
Vestido Verão Cetim,2020-11,2,30,60,Cetim,Verão
Calça Verão Tactel,2020-12,1,20,40,Tactel,Verão
Calça Verão Cetim,2020-12,2,25,50,Cetim,Verão
Bermuda Verão Jeans,2020-12,3,15,30,Jeans,Verão
Blusa Verão Seda,2020-12,2,18,36,Seda,Verão
Camisa Verão Algodão,2020-12,4,22,44,Algodão,Verão
Cropped Verão Algodão,2020-12,3,10,20,Algodão,Verão
Saia Verão Viscose,2020-12,4,12,24,Viscose,Verão
Short Verão Jeans,2020-12,2,16,32,Jeans,Verão
T-shirt Verão Poliéster,2020-12,3,8,16,Poliéster,Verão
Vestido Verão Cetim,2020-12,1,30,60,Cetim,Verão
Calça Verão Tactel,2021-01,2,20,40,Tactel,Verão
Calça Verão Cetim,2021-01,3,25,50,Cetim,Verão
Bermuda Verão Jeans,2021-01,4,15,30,Jeans,Verão
Blusa Verão Seda,2021-01,1,18,36,Seda,Verão
Camisa Verão Algodão,2021-01,2,22,44,Algodão,Verão
Cropped Verão Algodão,2021-01,3,10,20,Algodão,Verão
Saia Verão Viscose,2021-01,4,12,24,Viscose,Verão
Short Verão Jeans,2021-01,2,16,32,Jeans,Verão
T-shirt Verão Poliéster,2021-01,1,8,16,Poliéster,Verão
Vestido Verão Cetim,2021-01,2,30,60,Cetim,Verão
Calça Verão Tactel,2021-02,1,20,40,Tactel,Verão
Calça Verão Cetim,2021-02,2,25,50,Cetim,Verão
Bermuda Verão Jeans,2021-02,3,15,30,Jeans,Verão
Blusa Verão Seda,2021-02,2,18,36,Seda,Verão
Camisa Verão Algodão,2021-02,4,22,44,Algodão,Verão
Cropped Verão Algodão,2021-02,3,10,20,Algodão,Verão
Saia Verão Viscose,2021-02,4,12,24,Viscose,Verão
Short Verão Jeans,2021-02,2,16,32,Jeans,Verão
T-shirt Verão Poliéster,2021-02,3,8,16,Poliéster,Verão
Vestido Verão Cetim,2021-02,1,30,60,Cetim,Verão
Calça Outono Sarja,2021-03,2,22,44,Sarja,Outono
Calça Outono Algodão,2021-03,3,20,40,Algodão,Outono
Bermuda Outono Jeans,2021-03,1,18,36,Jeans,Outono
Blusa Outono Tricô,2021-03,4,16,32,Tricô,Outono
Camisa Outono Lã,2021-03,2,24,48,Lã,Outono
Cropped Outono Viscose,2021-03,1,12,24,Viscose,Outono
Saia Outono Couro,2021-03,3,14,28,Couro,Outono
Short Outono Sarja,2021-03,4,18,36,Sarja,Outono
T-shirt Outono Algodão,2021-03,2,10,20,Algodão,Outono
Vestido Outono Lã,2021-03,1,28,56,Lã,Outono
Calça Outono Sarja,2021-04,3,22,44,Sarja,Outono
Calça Outono Algodão,2021-04,4,20,40,Algodão,Outono
Bermuda Outono Jeans,2021-04,2,18,36,Jeans,Outono
Blusa Outono Tricô,2021-04,1,16,32,Tricô,Outono
Camisa Outono Lã,2021-04,3,24,48,Lã,Outono
Cropped Outono Viscose,2021-04,2,12,24,Viscose,Outono
Saia Outono Couro,2021-04,4,14,28,Couro,Outono
Short Outono Sarja,2021-04,1,18,36,Sarja,Outono
T-shirt Outono Algodão,2021-04,2,10,20,Algodão,Outono
Vestido Outono Lã,2021-04,3,28,56,Lã,Outono
Calça Inverno Lã,2021-05,2,30,60,Lã,Inverno
Calça Inverno Malha,2021-05,4,28,56,Malha,Inverno
Bermuda Inverno Moletom,2021-05,1,20,40,Moletom,Inverno
Blusa Inverno Lã,2021-05,3,26,52,Lã,Inverno
Camisa Inverno Flanela,2021-05,2,24,48,Flanela,Inverno
Cropped Inverno Algodão,2021-05,1,14,28,Algodão,Inverno
Saia Inverno Lã,2021-05,2,22,44,Lã,Inverno
Short Inverno Moletom,2021-05,3,18,36,Moletom,Inverno
T-shirt Inverno Algodão,2021-05,4,12,24,Algodão,Inverno
Vestido Inverno Lã,2021-05,2,32,64,Lã,Inverno
Calça Inverno Lã,2021-06,1,30,60,Lã,Inverno
Calça Inverno Malha,2021-06,3,28,56,Malha,Inverno
Bermuda Inverno Moletom,2021-06,2,20,40,Moletom,Inverno
Blusa Inverno Lã,2021-06,4,26,52,Lã,Inverno
Camisa Inverno Flanela,2021-06,1,24,48,Flanela,Inverno
Cropped Inverno Algodão,2021-06,3,14,28,Algodão,Inverno
Saia Inverno Lã,2021-06,2,22,44,Lã,Inverno
Short Inverno Moletom,2021-06,4,18,36,Moletom,Inverno
T-shirt Inverno Algodão,2021-06,2,12,24,Algodão,Inverno
Vestido Inverno Lã,2021-06,3,32,64,Lã,Inverno
Calça Inverno Lã,2021-07,4,30,60,Lã,Inverno
Calça Inverno Malha,2021-07,1,28,56,Malha,Inverno
Bermuda Inverno Moletom,2021-07,3,20,40,Moletom,Inverno
Blusa Inverno Lã,2021-07,2,26,52,Lã,Inverno
Camisa Inverno Flanela,2021-07,4,24,48,Flanela,Inverno
Cropped Inverno Algodão,2021-07,1,14,28,Algodão,Inverno
Saia Inverno Lã,2021-07,3,22,44,Lã,Inverno
Short Inverno Moletom,2021-07,2,18,36,Moletom,Inverno
T-shirt Inverno Algodão,2021-07,4,12,24,Algodão,Inverno
Vestido Inverno Lã,2021-07,1,32,64,Lã,Inverno
Calça Primavera Viscose,2021-08,2,20,40,Viscose,Primavera
Calça Primavera Linho,2021-08,3,22,44,Linho,Primavera
Bermuda Primavera Algodão,2021-08,1,18,36,Algodão,Primavera
Blusa Primavera Chiffon,2021-08,4,16,32,Chiffon,Primavera
Camisa Primavera Viscose,2021-08,2,24,48,Viscose,Primavera
Cropped Primavera Linho,2021-08,3,12,24,Linho,Primavera
Saia Primavera Seda,2021-08,4,14,28,Seda,Primavera
Short Primavera Algodão,2021-08,1,18,36,Algodão,Primavera
T-shirt Primavera Poliéster,2021-08,2,10,20,Poliéster,Primavera
Vestido Primavera Chiffon,2021-08,3,30,60,Chiffon,Primavera
Calça Primavera Viscose,2021-09,1,20,40,Viscose,Primavera
Calça Primavera Linho,2021-09,2,22,44,Linho,Primavera
Bermuda Primavera Algodão,2021-09,4,18,36,Algodão,Primavera
Blusa Primavera Chiffon,2021-09,3,16,32,Chiffon,Primavera
Camisa Primavera Viscose,2021-09,1,24,48,Viscose,Primavera
Cropped Primavera Linho,2021-09,2,12,24,Linho,Primavera
Saia Primavera Seda,2021-09,4,14,28,Seda,Primavera
Short Primavera Algodão,2021-09,3,18,36,Algodão,Primavera
T-shirt Primavera Poliéster,2021-09,2,10,20,Poliéster,Primavera
Vestido Primavera Chiffon,2021-09,1,30,60,Chiffon,Primavera
Calça Primavera Viscose,2021-10,4,20,40,Viscose,Primavera
Calça Primavera Linho,2021-10,1,22,44,Linho,Primavera
Bermuda Primavera Algodão,2021-10,3,18,36,Algodão,Primavera
Blusa Primavera Chiffon,2021-10,2,16,32,Chiffon,Primavera
Camisa Primavera Viscose,2021-10,4,24,48,Viscose,Primavera
Cropped Primavera Linho,2021-10,1,12,24,Linho,Primavera
Saia Primavera Seda,2021-10,2,14,28,Seda,Primavera
Short Primavera Algodão,2021-10,3,18,36,Algodão,Primavera
T-shirt Primavera Poliéster,2021-10,1,10,20,Poliéster,Primavera
Vestido Primavera Chiffon,2021-10,4,30,60,Chiffon,Primavera
Calça Verão Tactel,2021-11,2,20,40,Tactel,Verão
Calça Verão Cetim,2021-11,3,25,50,Cetim,Verão
Bermuda Verão Jeans,2021-11,4,15,30,Jeans,Verão
Blusa Verão Seda,2021-11,1,18,36,Seda,Verão
Camisa Verão Algodão,2021-11,2,22,44,Algodão,Verão
Cropped Verão Algodão,2021-11,3,10,20,Algodão,Verão
Saia Verão Viscose,2021-11,4,12,24,Viscose,Verão
Short Verão Jeans,2021-11,2,16,32,Jeans,Verão
T-shirt Verão Poliéster,2021-11,1,8,16,Poliéster,Verão
Vestido Verão Cetim,2021-11,2,30,60,Cetim,Verão
Calça Verão Tactel,2021-12,1,20,40,Tactel,Verão
Calça Verão Cetim,2021-12,2,25,50,Cetim,Verão
Bermuda Verão Jeans,2021-12,3,15,30,Jeans,Verão
Blusa Verão Seda,2021-12,2,18,36,Seda,Verão
Camisa Verão Algodão,2021-12,4,22,44,Algodão,Verão
Cropped Verão Algodão,2021-12,3,10,20,Algodão,Verão
Saia Verão Viscose,2021-12,4,12,24,Viscose,Verão
Short Verão Jeans,2021-12,2,16,32,Jeans,Verão
T-shirt Verão Poliéster,2021-12,3,8,16,Poliéster,Verão
Vestido Verão Cetim,2021-12,1,30,60,Cetim,Verão
Calça Verão Tactel,2022-01,2,20,40,Tactel,Verão
Calça Verão Cetim,2022-01,3,25,50,Cetim,Verão
Bermuda Verão Jeans,2022-01,4,15,30,Jeans,Verão
Blusa Verão Seda,2022-01,1,18,36,Seda,Verão
Camisa Verão Algodão,2022-01,2,22,44,Algodão,Verão
Cropped Verão Algodão,2022-01,3,10,20,Algodão,Verão
Saia Verão Viscose,2022-01,4,12,24,Viscose,Verão
Short Verão Jeans,2022-01,2,16,32,Jeans,Verão
T-shirt Verão Poliéster,2022-01,1,8,16,Poliéster,Verão
Vestido Verão Cetim,2022-01,2,30,60,Cetim,Verão
Calça Verão Tactel,2022-02,1,20,40,Tactel,Verão
Calça Verão Cetim,2022-02,2,25,50,Cetim,Verão
Bermuda Verão Jeans,2022-02,3,15,30,Jeans,Verão
Blusa Verão Seda,2022-02,2,18,36,Seda,Verão
Camisa Verão Algodão,2022-02,4,22,44,Algodão,Verão
Cropped Verão Algodão,2022-02,3,10,20,Algodão,Verão
Saia Verão Viscose,2022-02,4,12,24,Viscose,Verão
Short Verão Jeans,2022-02,2,16,32,Jeans,Verão
T-shirt Verão Poliéster,2022-02,3,8,16,Poliéster,Verão
Vestido Verão Cetim,2022-02,1,30,60,Cetim,Verão
Calça Outono Sarja,2022-03,2,22,44,Sarja,Outono
Calça Outono Algodão,2022-03,3,20,40,Algodão,Outono
Bermuda Outono Jeans,2022-03,1,18,36,Jeans,Outono
Blusa Outono Tricô,2022-03,4,16,32,Tricô,Outono
Camisa Outono Lã,2022-03,2,24,48,Lã,Outono
Cropped Outono Viscose,2022-03,1,12,24,Viscose,Outono
Saia Outono Couro,2022-03,3,14,28,Couro,Outono
Short Outono Sarja,2022-03,4,18,36,Sarja,Outono
T-shirt Outono Algodão,2022-03,2,10,20,Algodão,Outono
Vestido Outono Lã,2022-03,1,28,56,Lã,Outono
Calça Outono Sarja,2022-04,3,22,44,Sarja,Outono
Calça Outono Algodão,2022-04,4,20,40,Algodão,Outono
Bermuda Outono Jeans,2022-04,2,18,36,Jeans,Outono
Blusa Outono Tricô,2022-04,1,16,32,Tricô,Outono
Camisa Outono Lã,2022-04,3,24,48,Lã,Outono
Cropped Outono Viscose,2022-04,2,12,24,Viscose,Outono
Saia Outono Couro,2022-04,4,14,28,Couro,Outono
Short Outono Sarja,2022-04,1,18,36,Sarja,Outono
T-shirt Outono Algodão,2022-04,2,10,20,Algodão,Outono
Vestido Outono Lã,2022-04,3,28,56,Lã,Outono
Calça Inverno Lã,2022-05,2,30,60,Lã,Inverno
Calça Inverno Malha,2022-05,4,28,56,Malha,Inverno
Bermuda Inverno Moletom,2022-05,1,20,40,Moletom,Inverno
Blusa Inverno Lã,2022-05,3,26,52,Lã,Inverno
Camisa Inverno Flanela,2022-05,2,24,48,Flanela,Inverno
Cropped Inverno Algodão,2022-05,1,14,28,Algodão,Inverno
Saia Inverno Lã,2022-05,2,22,44,Lã,Inverno
Short Inverno Moletom,2022-05,3,18,36,Moletom,Inverno
T-shirt Inverno Algodão,2022-05,4,12,24,Algodão,Inverno
Vestido Inverno Lã,2022-05,2,32,64,Lã,Inverno
Calça Inverno Lã,2022-06,1,30,60,Lã,Inverno
Calça Inverno Malha,2022-06,3,28,56,Malha,Inverno
Bermuda Inverno Moletom,2022-06,2,20,40,Moletom,Inverno
Blusa Inverno Lã,2022-06,4,26,52,Lã,Inverno
Camisa Inverno Flanela,2022-06,1,24,48,Flanela,Inverno
Cropped Inverno Algodão,2022-06,3,14,28,Algodão,Inverno
Saia Inverno Lã,2022-06,2,22,44,Lã,Inverno
Short Inverno Moletom,2022-06,4,18,36,Moletom,Inverno
T-shirt Inverno Algodão,2022-06,2,12,24,Algodão,Inverno
Vestido Inverno Lã,2022-06,3,32,64,Lã,Inverno
Calça Inverno Lã,2022-07,4,30,60,Lã,Inverno
Calça Inverno Malha,2022-07,1,28,56,Malha,Inverno
Bermuda Inverno Moletom,2022-07,3,20,40,Moletom,Inverno
Blusa Inverno Lã,2022-07,2,26,52,Lã,Inverno
Camisa Inverno Flanela,2022-07,4,24,48,Flanela,Inverno
Cropped Inverno Algodão,2022-07,1,14,28,Algodão,Inverno
Saia Inverno Lã,2022-07,3,22,44,Lã,Inverno
Short Inverno Moletom,2022-07,2,18,36,Moletom,Inverno
T-shirt Inverno Algodão,2022-07,4,12,24,Algodão,Inverno
Vestido Inverno Lã,2022-07,1,32,64,Lã,Inverno
Calça Primavera Viscose,2022-08,2,20,40,Viscose,Primavera
Calça Primavera Linho,2022-08,3,22,44,Linho,Primavera
Bermuda Primavera Algodão,2022-08,1,18,36,Algodão,Primavera
Blusa Primavera Chiffon,2022-08,4,16,32,Chiffon,Primavera
Camisa Primavera Viscose,2022-08,2,24,48,Viscose,Primavera
Cropped Primavera Linho,2022-08,3,12,24,Linho,Primavera
Saia Primavera Seda,2022-08,4,14,28,Seda,Primavera
Short Primavera Algodão,2022-08,1,18,36,Algodão,Primavera
T-shirt Primavera Poliéster,2022-08,2,10,20,Poliéster,Primavera
Vestido Primavera Chiffon,2022-08,3,30,60,Chiffon,Primavera
Calça Primavera Viscose,2022-09,1,20,40,Viscose,Primavera
Calça Primavera Linho,2022-09,2,22,44,Linho,Primavera
Bermuda Primavera Algodão,2022-09,4,18,36,Algodão,Primavera
Blusa Primavera Chiffon,2022-09,3,16,32,Chiffon,Primavera
Camisa Primavera Viscose,2022-09,1,24,48,Viscose,Primavera
Cropped Primavera Linho,2022-09,2,12,24,Linho,Primavera
Saia Primavera Seda,2022-09,4,14,28,Seda,Primavera
Short Primavera Algodão,2022-09,3,18,36,Algodão,Primavera
T-shirt Primavera Poliéster,2022-09,2,10,20,Poliéster,Primavera
Vestido Primavera Chiffon,2022-09,1,30,60,Chiffon,Primavera
Calça Primavera Viscose,2022-10,4,20,40,Viscose,Primavera
Calça Primavera Linho,2022-10,1,22,44,Linho,Primavera
Bermuda Primavera Algodão,2022-10,3,18,36,Algodão,Primavera
Blusa Primavera Chiffon,2022-10,2,16,32,Chiffon,Primavera
Camisa Primavera Viscose,2022-10,4,24,48,Viscose,Primavera
Cropped Primavera Linho,2022-10,1,12,24,Linho,Primavera
Saia Primavera Seda,2022-10,2,14,28,Seda,Primavera
Short Primavera Algodão,2022-10,3,18,36,Algodão,Primavera
T-shirt Primavera Poliéster,2022-10,1,10,20,Poliéster,Primavera
Vestido Primavera Chiffon,2022-10,4,30,60,Chiffon,Primavera
Calça Verão Tactel,2022-11,2,20,40,Tactel,Verão
Calça Verão Cetim,2022-11,3,25,50,Cetim,Verão
Bermuda Verão Jeans,2022-11,4,15,30,Jeans,Verão
Blusa Verão Seda,2022-11,1,18,36,Seda,Verão
Camisa Verão Algodão,2022-11,2,22,44,Algodão,Verão
Cropped Verão Algodão,2022-11,3,10,20,Algodão,Verão
Saia Verão Viscose,2022-11,4,12,24,Viscose,Verão
Short Verão Jeans,2022-11,2,16,32,Jeans,Verão
T-shirt Verão Poliéster,2022-11,1,8,16,Poliéster,Verão
Vestido Verão Cetim,2022-11,2,30,60,Cetim,Verão
Calça Verão Tactel,2022-12,1,20,40,Tactel,Verão
Calça Verão Cetim,2022-12,2,25,50,Cetim,Verão
Bermuda Verão Jeans,2022-12,3,15,30,Jeans,Verão
Blusa Verão Seda,2022-12,2,18,36,Seda,Verão
Camisa Verão Algodão,2022-12,4,22,44,Algodão,Verão
Cropped Verão Algodão,2022-12,3,10,20,Algodão,Verão
Saia Verão Viscose,2022-12,4,12,24,Viscose,Verão
Short Verão Jeans,2022-12,2,16,32,Jeans,Verão
T-shirt Verão Poliéster,2022-12,3,8,16,Poliéster,Verão
Vestido Verão Cetim,2022-12,1,30,60,Cetim,Verão
Calça Verão Tactel,2023-01,2,20,40,Tactel,Verão
Calça Verão Cetim,2023-01,3,25,50,Cetim,Verão
Bermuda Verão Jeans,2023-01,4,15,30,Jeans,Verão
Blusa Verão Seda,2023-01,1,18,36,Seda,Verão
Camisa Verão Algodão,2023-01,2,22,44,Algodão,Verão
Cropped Verão Algodão,2023-01,3,10,20,Algodão,Verão
Saia Verão Viscose,2023-01,4,12,24,Viscose,Verão
Short Verão Jeans,2023-01,2,16,32,Jeans,Verão
T-shirt Verão Poliéster,2023-01,1,8,16,Poliéster,Verão
Vestido Verão Cetim,2023-01,2,30,60,Cetim,Verão
Calça Verão Tactel,2023-02,1,20,40,Tactel,Verão
Calça Verão Cetim,2023-02,2,25,50,Cetim,Verão
Bermuda Verão Jeans,2023-02,3,15,30,Jeans,Verão
Blusa Verão Seda,2023-02,2,18,36,Seda,Verão
Camisa Verão Algodão,2023-02,4,22,44,Algodão,Verão
Cropped Verão Algodão,2023-02,3,10,20,Algodão,Verão
Saia Verão Viscose,2023-02,4,12,24,Viscose,Verão
Short Verão Jeans,2023-02,2,16,32,Jeans,Verão
T-shirt Verão Poliéster,2023-02,3,8,16,Poliéster,Verão
Vestido Verão Cetim,2023-02,1,30,60,Cetim,Verão
Calça Outono Sarja,2023-03,2,22,44,Sarja,Outono
Calça Outono Algodão,2023-03,3,20,40,Algodão,Outono
Bermuda Outono Jeans,2023-03,1,18,36,Jeans,Outono
Blusa Outono Tricô,2023-03,4,16,32,Tricô,Outono
Camisa Outono Lã,2023-03,2,24,48,Lã,Outono
Cropped Outono Viscose,2023-03,1,12,24,Viscose,Outono
Saia Outono Couro,2023-03,3,14,28,Couro,Outono
Short Outono Sarja,2023-03,4,18,36,Sarja,Outono
T-shirt Outono Algodão,2023-03,2,10,20,Algodão,Outono
Vestido Outono Lã,2023-03,1,28,56,Lã,Outono
Calça Outono Sarja,2023-04,3,22,44,Sarja,Outono
Calça Outono Algodão,2023-04,4,20,40,Algodão,Outono
Bermuda Outono Jeans,2023-04,2,18,36,Jeans,Outono
Blusa Outono Tricô,2023-04,1,16,32,Tricô,Outono
Camisa Outono Lã,2023-04,3,24,48,Lã,Outono
Cropped Outono Viscose,2023-04,2,12,24,Viscose,Outono
Saia Outono Couro,2023-04,4,14,28,Couro,Outono
Short Outono Sarja,2023-04,1,18,36,Sarja,Outono
T-shirt Outono Algodão,2023-04,2,10,20,Algodão,Outono
Vestido Outono Lã,2023-04,3,28,56,Lã,Outono
Calça Inverno Lã,2023-05,2,30,60,Lã,Inverno
Calça Inverno Malha,2023-05,4,28,56,Malha,Inverno
Bermuda Inverno Moletom,2023-05,1,20,40,Moletom,Inverno
Blusa Inverno Lã,2023-05,3,26,52,Lã,Inverno
Camisa Inverno Flanela,2023-05,2,24,48,Flanela,Inverno
Cropped Inverno Algodão,2023-05,1,14,28,Algodão,Inverno
Saia Inverno Lã,2023-05,2,22,44,Lã,Inverno
Short Inverno Moletom,2023-05,3,18,36,Moletom,Inverno
T-shirt Inverno Algodão,2023-05,4,12,24,Algodão,Inverno
Vestido Inverno Lã,2023-05,2,32,64,Lã,Inverno
Calça Inverno Lã,2023-06,1,30,60,Lã,Inverno
Calça Inverno Malha,2023-06,3,28,56,Malha,Inverno
Bermuda Inverno Moletom,2023-06,2,20,40,Moletom,Inverno
Blusa Inverno Lã,2023-06,4,26,52,Lã,Inverno
Camisa Inverno Flanela,2023-06,1,24,48,Flanela,Inverno
Cropped Inverno Algodão,2023-06,3,14,28,Algodão,Inverno
Saia Inverno Lã,2023-06,2,22,44,Lã,Inverno
Short Inverno Moletom,2023-06,4,18,36,Moletom,Inverno
T-shirt Inverno Algodão,2023-06,2,12,24,Algodão,Inverno
Vestido Inverno Lã,2023-06,3,32,64,Lã,Inverno
Calça Inverno Lã,2023-07,4,30,60,Lã,Inverno
Calça Inverno Malha,2023-07,1,28,56,Malha,Inverno
Bermuda Inverno Moletom,2023-07,3,20,40,Moletom,Inverno
Blusa Inverno Lã,2023-07,2,26,52,Lã,Inverno
Camisa Inverno Flanela,2023-07,4,24,48,Flanela,Inverno
Cropped Inverno Algodão,2023-07,1,14,28,Algodão,Inverno
Saia Inverno Lã,2023-07,3,22,44,Lã,Inverno
Short Inverno Moletom,2023-07,2,18,36,Moletom,Inverno
T-shirt Inverno Algodão,2023-07,4,12,24,Algodão,Inverno
Vestido Inverno Lã,2023-07,1,32,64,Lã,Inverno
Calça Primavera Viscose,2023-08,2,20,40,Viscose,Primavera
Calça Primavera Linho,2023-08,3,22,44,Linho,Primavera
Bermuda Primavera Algodão,2023-08,1,18,36,Algodão,Primavera
Blusa Primavera Chiffon,2023-08,4,16,32,Chiffon,Primavera
Camisa Primavera Viscose,2023-08,2,24,48,Viscose,Primavera
Cropped Primavera Linho,2023-08,3,12,24,Linho,Primavera
Saia Primavera Seda,2023-08,4,14,28,Seda,Primavera
Short Primavera Algodão,2023-08,1,18,36,Algodão,Primavera
T-shirt Primavera Poliéster,2023-08,2,10,20,Poliéster,Primavera
Vestido Primavera Chiffon,2023-08,3,30,60,Chiffon,Primavera
Calça Primavera Viscose,2023-09,1,20,40,Viscose,Primavera
Calça Primavera Linho,2023-09,2,22,44,Linho,Primavera
Bermuda Primavera Algodão,2023-09,4,18,36,Algodão,Primavera
Blusa Primavera Chiffon,2023-09,3,16,32,Chiffon,Primavera
Camisa Primavera Viscose,2023-09,1,24,48,Viscose,Primavera
Cropped Primavera Linho,2023-09,2,12,24,Linho,Primavera
Saia Primavera Seda,2023-09,4,14,28,Seda,Primavera
Short Primavera Algodão,2023-09,3,18,36,Algodão,Primavera
T-shirt Primavera Poliéster,2023-09,2,10,20,Poliéster,Primavera
Vestido Primavera Chiffon,2023-09,1,30,60,Chiffon,Primavera
Calça Primavera Viscose,2023-10,4,20,40,Viscose,Primavera
Calça Primavera Linho,2023-10,1,22,44,Linho,Primavera
Bermuda Primavera Algodão,2023-10,3,18,36,Algodão,Primavera
